timestamp_s,state_machine,target_visible,target_time_s,meas_local_x_m,meas_local_z_m,meas_global_x_m,meas_global_z_m,kf_x_m,kf_z_m,kf_vx_mps,kf_vz_mps,future_global_x_m,future_global_z_m,blended_global_x_m,blended_global_z_m,drive_distance_m,drive_bearing_rad,real_distance_to_platform_m,linear_cmd_mps,angular_cmd_radps,robot_x_m,robot_z_m,robot_theta_rad,innovation_x_m,innovation_z_m,negative_velocity_flag
1778572986.278983,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572986.332308,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572986.383891,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572986.434901,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572986.485586,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572986.538200,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572986.592740,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572986.643583,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572986.694425,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572986.745136,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572986.795647,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572986.846625,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572986.897516,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572986.948574,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572987.002016,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572987.052551,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572987.103105,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572987.156115,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572987.207050,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572987.257508,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572987.308258,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572987.362475,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572987.414348,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572987.465421,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572987.517748,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572987.574033,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572987.625047,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572987.677159,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572987.729917,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572987.782060,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572987.834827,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572987.885405,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572987.936502,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572987.987118,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572988.039589,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572988.090878,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572988.143568,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572988.195255,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572988.248868,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572988.299804,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572988.352746,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572988.408525,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572988.463353,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572988.520445,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572988.576766,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572988.628746,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572988.682405,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572988.738064,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572988.798848,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572988.856520,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572988.917675,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572988.969904,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
1778572989.037371,WAIT_FIRST,0,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,,,0
