% Pose logfile
% 1 	Time (sec)
% 2,3 	X, Y position (m)
% 4 	Heading in radians (m)
% 5 	Tilt angle, if calculated (rad)
1777025565.2807 0.000 0.000 0.0000 3.1295
1777025565.2859 0.000 0.000 0.0000 3.1295
1777025565.2904 0.000 0.000 0.0000 3.1295
1777025565.2951 0.000 0.000 0.0000 3.1295
1777025565.3006 0.000 0.000 0.0000 3.1295
1777025565.3052 0.000 0.000 0.0000 3.1295
1777025565.3107 0.000 0.000 0.0000 3.1295
1777025565.3152 0.000 0.000 0.0000 3.1295
1777025565.3203 0.000 0.000 0.0000 3.1295
1777025565.3259 0.000 0.000 0.0000 3.1295
1777025565.3303 0.000 0.000 0.0000 3.1295
1777025565.3350 0.000 0.000 0.0000 3.1295
1777025565.3404 0.000 0.000 0.0000 3.1295
1777025565.3454 0.000 0.000 0.0000 3.1295
1777025565.3508 0.000 0.000 0.0000 3.1295
1777025565.3551 0.000 0.000 0.0000 3.1294
1777025565.3607 0.000 0.000 0.0000 3.1295
1777025565.3651 0.000 0.000 0.0000 3.1295
1777025565.3708 0.000 0.000 0.0000 3.1295
1777025565.3754 0.000 0.000 0.0000 3.1295
1777025565.3799 0.000 0.000 0.0000 3.1295
1777025565.3860 0.000 0.000 0.0000 3.1295
1777025565.3904 0.000 0.000 0.0000 3.1295
1777025565.3952 0.000 0.000 0.0000 3.1295
1777025565.4000 0.000 0.000 0.0000 3.1295
1777025565.4057 0.000 0.000 0.0000 3.1295
1777025565.4101 0.000 0.000 0.0000 3.1295
1777025565.4158 0.000 0.000 0.0000 3.1295
1777025565.4204 0.000 0.000 0.0000 3.1295
1777025565.4260 0.000 0.000 0.0000 3.1295
1777025565.4305 0.000 0.000 0.0000 3.1295
1777025565.4351 0.000 0.000 0.0000 3.1295
1777025565.4408 0.000 0.000 0.0000 3.1295
1777025565.4455 0.000 0.000 0.0000 3.1295
1777025565.4499 0.000 0.000 0.0000 3.1295
1777025565.4551 0.000 0.000 0.0000 3.1295
1777025565.4604 0.000 0.000 0.0000 3.1295
1777025565.4652 0.000 0.000 0.0000 3.1295
1777025565.4706 0.000 0.000 0.0000 3.1295
1777025565.4753 0.000 0.000 0.0000 3.1295
1777025565.4808 0.000 0.000 0.0000 3.1295
1777025565.4869 0.000 0.000 0.0000 3.1295
1777025565.4905 0.000 0.000 0.0000 3.1295
1777025565.4951 0.000 0.000 0.0000 3.1295
1777025565.5007 0.000 0.000 0.0000 3.1295
1777025565.5053 0.000 0.000 0.0000 3.1295
1777025565.5107 0.000 0.000 0.0000 3.1295
1777025565.5153 0.000 0.000 0.0000 3.1295
