% teensy communication to/from Teensy
% 1 	Time (sec) from system
% 2 	(Tx) Send to Teensy
%   	(Rx) Received from Teensy
%   	(Qu N) Put in queue to Teensy, now queue size N
% 3 	Message string queued, send or received
1777025564.4275 ## Connection to USB open
1777025564.7988 Rx ;51vel 2128.0439 0.000 0.000 0.0000 0.000 4
1777025564.7999 Rx ;43pose 2128.0452 0.000 0.000 0.0000 3.1295
1777025564.8021 Rx ;73gyro 0.030518 -2.227783 0.946045 2128.047
1777025564.8033 Rx ;59ird 0.339 1.500 6676 2305 1
1777025564.8033 Rx ;70acc 0.030762 0.000488 1.168945 2128.049
1777025564.8045 Rx ;73livn 95 88 85 93 85 88 94 27 5
1777025564.8046 Rx ;37pose 2128.0500 0.000 0.000 0.0000 3.1295
1777025564.8068 Rx ;42vel 2128.0520 0.000 0.000 0.0000 0.000 4
1777025564.8079 Rx ;92mca 0.001 0.000 17
1777025564.8101 Rx ;50pose 2128.0549 0.000 0.000 0.0000 3.1295
1777025564.8144 Rx ;97livn 101 86 83 79 75 80 82 27 5
1777025564.8145 Rx ;86gyro 0.091553 -2.319336 0.762939 2128.059
1777025564.8146 Rx ;39pose 2128.0601 0.000 0.000 0.0000 3.1295
1777025564.8146 Rx ;42vel 2128.0601 0.000 0.000 0.0000 0.000 4
1777025564.8158 Rx ;90acc 0.033447 -0.000244 1.168213 2128.061
1777025564.8202 Rx ;51pose 2128.0649 0.000 0.000 0.0000 3.1295
1777025564.8225 Rx ;57vel 2128.0679 0.000 0.000 0.0000 0.000 4
1777025564.8236 Rx ;56ird 0.339 1.500 6675 2402 1
1777025564.8237 Rx ;36mot 0 0 0.1 0.1 0
1777025564.8248 Rx ;68livn 97 89 86 90 82 87 91 19 5
1777025564.8249 Rx ;40pose 2128.0701 0.000 0.000 0.0000 3.1295
1777025564.8260 Rx ;47gyro 0.061035 -2.136230 0.701904 2128.071
1777025564.8282 Rx ;83acc 0.031250 -0.000244 1.172119 2128.073
1777025564.8294 Rx ;44pose 2128.0750 0.000 0.000 0.0000 3.1295
1777025564.8305 Rx ;56vel 2128.0759 0.000 0.000 0.0000 0.000 4
1777025564.8349 Rx ;64livn 92 98 83 92 82 89 93 17 5
1777025564.8349 Rx ;41pose 2128.0801 0.000 0.000 0.0000 3.1295
1777025564.8382 Rx ;28gyro -0.091553 -2.563477 0.946045 2128.083
1777025564.8383 Rx ;47vel 2128.0840 0.000 0.000 0.0000 0.000 4
1777025564.8395 Rx ;45pose 2128.0850 0.000 0.000 0.0000 3.1295
1777025564.8396 Rx ;11acc 0.032227 -0.003662 1.170898 2128.085
